SITE_IDENTIFIER,schedule,IP_UTM,IP_NRTH,IP_EAST,BC_ALBERS_X,BC_ALBERS_Y,Longitude,Latitude,TSA,TSA_DESC,TFL,FIZ,BEC_ZONE,BEC_SBZ,BEC_VAR,owner,SAMPLE_ESTABLISHMENT_TYPE,TOTAL_PERIOD,MGMT_UNIT,OWN_SCHED_DESCRIP,GRID_BASE,GRID_SIZE,SITE_STATUS_CODE
4000429,B,9,5592594,606197,893349.046367142,607845.225007652,-127.503338236642,50.4757055920209,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000430,B,9,5592685,606192,893347.818195138,607936.426258589,-127.503382840533,50.4765246099045,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000431,B,9,5593573,605747,892940.07611939,608842.79348014,-127.509401057313,50.4845884181569,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000432,B,9,5593549,605633,892825.212073938,608823.513477068,-127.511014193424,50.4843932150473,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000433,B,9,5593578,605537,892730.521479677,608856.485731346,-127.512358721585,50.4846712317263,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000438,A,9,5588721,588487,875497.769885894,604706.773544327,-127.753776180201,50.4438241029855,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,21,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000439,A,9,5588712,588539,875549.340978013,604695.613960357,-127.75304613922,50.4437353377389,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000440,A,9,5588710,588439,875449.363575802,604697.768208352,-127.754454623886,50.4437324360775,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000441,A,9,5588709,588339,875349.427704204,604700.922487893,-127.755862872922,50.443738508605,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000442,A,9,5588707,588239,875249.450262852,604703.076920904,-127.75727135812,50.4437355728453,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000443,A,9,5588705,588139,875149.47280148,604705.231446341,-127.758679843449,50.443732620034,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
