tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m92,y4,ph_1,36,Hw,3.1,238.9,,LS,19.8,,Y,N,1,0,0,N,-,N,I,,,,,1,,,Forked with m93
m93,y66,ph_1,36,Hw,3.1,238.9,,LS,21.7,,N,-,-,-,-,-,-,-,I,,,,,1,,,Forked with m92
m94,y123,ph_1,36,Hw,4.2,251.8,,LS,32.9,22.2,Y,Y,0,0,0,N,-,Y,C,,,,,1,,,
m95,y102,ph_1,36,Hw,4.4,315.4,,LS,39.7,25.7,N,-,-,-,-,-,-,-,C,,,,,1,,,Forked with m96
m96,y24,ph_1,36,Hw,4.4,315.4,,LS,12.7,,N,-,-,-,-,-,-,-,S,,,,,1,,,Forked with m95
m97,y64,ph_1,36,Hw,2.9,331.5,,LS,24.2,,N,-,-,-,-,-,-,-,I,,,1,5,1,,,
m98,y69,ph_1,36,Hw,2.2,357.3,,LS,27.2,,N,-,-,-,-,-,-,-,C,,,,,1,,,
m99,y14,ph_1,36,Hw,5.6,353.8,,LS,26,,N,-,-,-,-,-,-,-,I,DS,,,,1,,,Stem pustules
m100,y115,ph_1,36,Hw,6.1,0.1,,LS,19.8,,N,-,-,-,-,-,-,-,I,DS,,,,1,,,Stem pustules
m101,y113,ph_1,36,Hw,5,13.5,,LS,22.2,,N,-,-,-,-,-,-,-,I,,,,,1,,,
m102,y67,ph_1,36,Hw,5.6,29.3,,LS,13.1,,N,-,-,-,-,-,-,-,S,,,1,,1,,,
m103,y38,ph_1,36,Hw,4.7,54.1,,LS,9.4,,N,-,-,-,-,-,-,-,S,,,,,1,,,
m104,y111,ph_1,36,Hw,4.6,66.4,,LS,20.1,,Y,Y,0,0,0,Y,8,N,I,,,,,1,,,
m105,y103,ph_1,36,Hw,7,88.2,,LS,26.3,,Y,N,1,0,0,N,-,N,C,,,,,1,,,
m106,y7,ph_1,36,Hw,2.6,101.7,,LS,33,,N,-,-,-,-,-,-,-,C,,,,,1,,,Clump m106-m109
m107,y117,ph_1,36,Hw,2.6,101.7,,LS,15.6,,N,-,-,-,-,-,-,-,S,,,,,1,,,Clump m106-m110
m108,y119,ph_1,36,Hw,2.6,101.7,,LS,36.3,26.4,N,-,-,-,-,-,-,-,C,,,,,1,,,Clump m106-m111
m109,y45,ph_1,36,Hw,2.6,101.7,,LS,10.1,,N,-,-,-,-,-,-,-,S,,,1,,1,,,Clump m106-m112
m110,y6,ph_1,36,Hw,4.4,167.1,,LS,20.2,,N,-,-,-,-,-,-,-,I,,,,,1,,,
m111,y114,ph_1,36,Hw,5.8,187,,LS,39.1,,N,-,-,-,-,-,-,-,C,,,,,1,,,
m112,y70,ph_1,36,Hw,5.2,196,,LS,17.9,,N,-,-,-,-,-,-,-,I,,,,,1,,,
m113,y3,ph_1,36,Hw,5.4,196,,LS,18.1,,N,-,-,-,-,-,-,-,S,,,,,1,,,
m114,w20,ph_1,37,Hw,3,235.6,,LS,24.7,,Y,N,0,0,1,N,-,N,I,,,,,1,,,
m115,w10,ph_1,37,Hw,1.6,219,,LS,17.8,,Y,N,1,1,0,N,-,N,I,,,,,1,,,
m116,w7,ph_1,37,Hw,7.2,275,,SN,10.8,,N,-,-,-,-,-,-,-,-,,,,,3,,,
m117,w58,ph_1,37,Hw,7.8,279.6,,LS,47.7,,Y,Y,1,1,0,Y,8,N,C,,,,,1,,,
